rID,Contributor,DOI
195359,Henry Knipe,https://doi.org/10.53347/rID-195359
37967,Frank Gaillard,https://doi.org/10.53347/rID-37967
53360,Yaïr Glick,https://doi.org/10.53347/rID-53360
37918,Craig Hacking,https://doi.org/10.53347/rID-37918
66838,Jeremy Jones,https://doi.org/10.53347/rID-66838
40136,Craig Hacking,https://doi.org/10.53347/rID-40136
46580,Ian Bickle,https://doi.org/10.53347/rID-46580
46694,Ian Bickle,https://doi.org/10.53347/rID-46694
200983,Craig Hacking,https://doi.org/10.53347/rID-200983
70935,"Adam Ramsey, MD",https://doi.org/10.53347/rID-70935
166218,Gni Liew,https://doi.org/10.53347/rID-166218
200984,Craig Hacking,https://doi.org/10.53347/rID-200984
32505,Andrew Dixon,https://doi.org/10.53347/rID-32505
46407,Ian Bickle,https://doi.org/10.53347/rID-46407
166129,Gni Liew,https://doi.org/10.53347/rID-166129
46571,Ian Bickle,https://doi.org/10.53347/rID-46571
46581,Ian Bickle,https://doi.org/10.53347/rID-46581
37922,Craig Hacking,https://doi.org/10.53347/rID-37922
46575,Ian Bickle,https://doi.org/10.53347/rID-46575
